first_name,last_name,full_name,cand_id,2017_aclu_score,2017_aclu_vote_office,2019_environment_score,2019_environment_vote_office,2017_naacp_score,2017_naacp_vote_office
Rick,Larsen,"Larsen, Rick",H0WA02080,86%,HOUSE,93%,HOUSE,97%,HOUSE
Jaime,Herrera Beutler,"Herrera Beutler, Jaime",H0WA03187,18%,HOUSE,24%,HOUSE,16%,HOUSE
Dan,Newhouse,"Newhouse, Dan",H4WA04104,12%,HOUSE,14%,HOUSE,19%,HOUSE
Cathy,McMorris Rodgers,"McMorris Rodgers, Cathy",H4WA05077,11%,HOUSE,10%,HOUSE,19%,HOUSE
Derek,Kilmer,"Kilmer, Derek",H2WA06129,79%,HOUSE,97%,HOUSE,94%,HOUSE
Pramila,Jayapal,"Jayapal, Pramila",H6WA07458,97%,HOUSE,100%,HOUSE,100%,HOUSE
Dave,Reichert,"Reichert, Dave",H4WA08071,26%,HOUSE,NaN,NaN,28%,HOUSE
Kim,Schrier,"Schrier, Kim",H8WA08189,NaN,NaN,97%,HOUSE,NaN,NaN
Adam,Smith,"Smith, Adam",H6WA09025,96%,HOUSE,97%,HOUSE,97%,HOUSE
Denny,Heck,"Heck, Denny",H0WA03161,79%,HOUSE,93%,HOUSE,97%,HOUSE
David,McKinley,"McKinley, David",H0WV01072,4%,HOUSE,7%,HOUSE,25%,HOUSE
Alex,Mooney,"Mooney, Alex",H4WV02080,18%,HOUSE,10%,HOUSE,6%,HOUSE
Evan,Jenkins,"Jenkins, Evan",H4WV03070,4%,HOUSE,NaN,NaN,NaN,HOUSE
Carol,Miller,"Miller, Carol",H8WV03097,NaN,NaN,7%,HOUSE,NaN,NaN
Paul,Ryan,"Ryan, Paul",H8WI01024,0%,HOUSE,NaN,NaN,NaN,HOUSE
Bryan,Steil,"Steil, Bryan",H8WI01156,NaN,NaN,21%,HOUSE,NaN,NaN
Mark,Pocan,"Pocan, Mark",H2WI02124,93%,HOUSE,100%,HOUSE,94%,HOUSE
Ron,Kind,"Kind, Ron",H6WI03099,81%,HOUSE,97%,HOUSE,64%,HOUSE
Gwen,Moore,"Moore, Gwen",H4WI04183,93%,HOUSE,97%,HOUSE,94%,HOUSE
Jim,Sensenbrenner,"Sensenbrenner, Jim",H8WI09050,17%,HOUSE,0%,HOUSE,6%,HOUSE
Glenn,Grothman,"Grothman, Glenn",H4WI06048,11%,HOUSE,10%,HOUSE,9%,HOUSE
Sean,Duffy,"Duffy, Sean",H0WI07051,7%,HOUSE,5%,HOUSE,13%,HOUSE
Mike,Gallagher,"Gallagher, Mike",H6WI08155,4%,HOUSE,14%,HOUSE,6%,HOUSE
Liz,Cheney,"Cheney, Liz",H6WY00159,4%,HOUSE,3%,HOUSE,9%,HOUSE
DAN,SULLIVAN,"SULLIVAN, DAN",S4AK00214,21%,SENATE,14%,SENATE,9%,SENATE
LISA,MURKOWSKI,"MURKOWSKI, LISA",S4AK00099,52%,SENATE,36%,SENATE,16%,SENATE
RICHARD,SHELBY,"SHELBY, RICHARD",S6AL00013,5%,SENATE,29%,SENATE,6%,SENATE
DOUG,JONES,"JONES, DOUG",S0AL00156,21%,SENATE,86%,SENATE,NaN,SENATE
JOHN,BOOZMAN,"BOOZMAN, JOHN",S0AR00150,5%,SENATE,21%,SENATE,13%,SENATE
TOM,COTTON,"COTTON, TOM",H2AR04083,14%,SENATE,14%,SENATE,6%,SENATE
MARTHA,MCSALLY,"McSally, Martha",S8AZ00221,NaN,NaN,14%,SENATE,NaN,NaN
Krysten,Sinema,"Sinema, Krysten",S8AZ00197,NaN,NaN,71%,SENATE,NaN,NaN
JEFF,FLAKE,"FLAKE, JEFF",H0AZ01184,24%,SENATE,NaN,NaN,9%,SENATE
