first_name,last_name,full_name,cand_id,2017_aclu_score,2017_aclu_vote_office,2019_environment_score,2019_environment_vote_office,2017_naacp_score,2017_naacp_vote_office
Mike,Garcia,"Garcia, Mike",H0CA25162,NaN,NaN,NaN,NaN,NaN,NaN
Julia,Brownley,"Brownley, Julia",H2CA00120,79%,HOUSE,97%,HOUSE,94%,HOUSE
Judy,Chu,"Chu, Judy",H0CA32101,89%,HOUSE,97%,HOUSE,100%,HOUSE
Adam,Schiff,"Schiff, Adam",H0CA27085,79%,HOUSE,97%,HOUSE,97%,HOUSE
Tony,Cárdenas,"Cárdenas, Tony",H2CA28113,88%,HOUSE,100%,HOUSE,94%,HOUSE
Brad,Sherman,"Sherman, Brad",H6CA24113,86%,HOUSE,93%,HOUSE,100%,HOUSE
Pete,Aguilar,"Aguilar, Pete",H2CA31125,75%,HOUSE,93%,HOUSE,88%,HOUSE
Grace,Napolitano,"Napolitano, Grace",H8CA34068,86%,HOUSE,97%,HOUSE,78%,HOUSE
Ted,Lieu,"Lieu, Ted",H4CA33119,87%,HOUSE,93%,HOUSE,97%,HOUSE
Jimmy,Gomez,"Gomez, Jimmy",H8CA34266,93%,HOUSE,97%,HOUSE,NaN,HOUSE
Norma,Torres,"Torres, Norma",H4CA35031,81%,HOUSE,97%,HOUSE,91%,HOUSE
Raul,Ruiz,"Ruiz, Raul",H0CA36177,71%,HOUSE,97%,HOUSE,94%,HOUSE
Karen,Bass,"Bass, Karen",H0CA33117,92%,HOUSE,93%,HOUSE,91%,HOUSE
Linda,Sánchez,"Sánchez, Linda",H2CA39078,89%,HOUSE,97%,HOUSE,100%,HOUSE
Gil,Cisneros,"Cisneros, Gil",H8CA39174,NaN,NaN,97%,HOUSE,NaN,NaN
Ed,Royce,"Royce, Ed",H6CA39020,4%,HOUSE,NaN,NaN,9%,HOUSE
Lucille,Roybal-Allard,"Roybal-Allard, Lucille",H2CA33048,89%,HOUSE,97%,HOUSE,100%,HOUSE
Mark,Takano,"Takano, Mark",H2CA43245,93%,HOUSE,97%,HOUSE,100%,HOUSE
Ken,Calvert,"Calvert, Ken",H0CA42209,4%,HOUSE,14%,HOUSE,13%,HOUSE
Maxine,Waters,"Waters, Maxine",H4CA23011,89%,HOUSE,97%,HOUSE,100%,HOUSE
Nanette,Barragán,"Barragán, Nanette",H6CA44103,93%,HOUSE,100%,HOUSE,100%,HOUSE
Mimi,Walters,"Walters, Mimi",H4CA45097,4%,HOUSE,NaN,NaN,6%,HOUSE
Katie,Porter,"Porter, Katie",H8CA45130,NaN,NaN,90%,HOUSE,NaN,NaN
Lou,Correa,"Correa, Lou",H6CA46116,75%,HOUSE,93%,HOUSE,75%,HOUSE
Alan,Lowenthal,"Lowenthal, Alan",H2CA00104,89%,HOUSE,100%,HOUSE,97%,HOUSE
Dana,Rohrabacher,"Rohrabacher, Dana",H8CA42061,21%,HOUSE,NaN,NaN,19%,HOUSE
Darrell,Issa,"Issa, Darrell",H0CA48024,9%,HOUSE,NaN,NaN,13%,HOUSE
Duncan,Hunter,"Hunter, Duncan",H8CA52052,4%,HOUSE,7%,HOUSE,13%,HOUSE
Harley,Rouda,"Rouda, Harley",H8CA48035,NaN,NaN,86%,HOUSE,NaN,NaN
Mike,Levin,"Levin, Mike",H8CA49058,NaN,NaN,97%,HOUSE,NaN,NaN
Juan,Vargas,"Vargas, Juan",H2CA50026,89%,HOUSE,96%,HOUSE,94%,HOUSE
Scott,Peters,"Peters, Scott",H2CA52089,71%,HOUSE,97%,HOUSE,84%,HOUSE
Susan,Davis,"Davis, Susan",H0CA49055,86%,HOUSE,93%,HOUSE,94%,HOUSE
Diana,DeGette,"DeGette, Diana",H6CO01141,92%,HOUSE,97%,HOUSE,94%,HOUSE
Joe,Neguse,"Neguse, Joe",H8CO02160,NaN,NaN,97%,HOUSE,NaN,NaN
Scott,Tipton,"Tipton, Scott",H6CO03139,7%,HOUSE,7%,HOUSE,9%,HOUSE
Ken,Buck,"Buck, Ken",H4CO04090,9%,HOUSE,0%,HOUSE,6%,HOUSE
Doug,Lamborn,"Lamborn, Doug",H6CO05159,11%,HOUSE,7%,HOUSE,6%,HOUSE
Mike,Coffman,"Coffman, Mike",H8CO06138,21%,HOUSE,NaN,NaN,13%,HOUSE
Jason,Crow,"Crow, Jason",H8CO06229,NaN,NaN,97%,HOUSE,NaN,NaN
Ed,Perlmutter,"Perlmutter, Ed",H6CO07023,75%,HOUSE,97%,HOUSE,91%,HOUSE
John B.,Larson,"Larson, John B.",H8CT01046,80%,HOUSE,96%,HOUSE,91%,HOUSE
Joe,Courtney,"Courtney, Joe",H2CT02112,78%,HOUSE,93%,HOUSE,91%,HOUSE
Rosa,DeLauro,"DeLauro, Rosa",H0CT03072,79%,HOUSE,97%,HOUSE,91%,HOUSE
Jim,Himes,"Himes, Jim",H8CT04172,79%,HOUSE,97%,HOUSE,94%,HOUSE
Elizabeth,Esty,"Esty, Elizabeth",H2CT05131,79%,HOUSE,NaN,NaN,94%,HOUSE
Jahana,Hayes,"Hayes, Jahana",H8CT05245,NaN,NaN,97%,HOUSE,NaN,NaN
Lisa,Blunt Rochester,"Blunt Rochester, Lisa",H6DE00206,79%,HOUSE,97%,HOUSE,94%,HOUSE
Matt,Gaetz,"Gaetz, Matt",H6FL01119,9%,HOUSE,24%,HOUSE,6%,HOUSE
Neal,Dunn,"Dunn, Neal",H6FL02208,4%,HOUSE,10%,HOUSE,9%,HOUSE
Ted,Yoho,"Yoho, Ted",H2FL06109,15%,HOUSE,7%,HOUSE,9%,HOUSE
John,Rutherford,"Rutherford, John",H6FL04105,3%,HOUSE,17%,HOUSE,9%,HOUSE
Al,Lawson,"Lawson, Al",H0FL02086,67%,HOUSE,97%,HOUSE,81%,HOUSE
Michael,Waltz,"Waltz, Michael",H8FL06148,NaN,NaN,34%,HOUSE,NaN,NaN
Stephanie,Murphy,"Murphy, Stephanie",H6FL07140,64%,HOUSE,97%,HOUSE,81%,HOUSE
Bill,Posey,"Posey, Bill",H8FL15107,17%,HOUSE,14%,HOUSE,6%,HOUSE
Darren,Soto,"Soto, Darren",H6FL09179,86%,HOUSE,97%,HOUSE,94%,HOUSE
Val,Demings,"Demings, Val",H2FL08063,69%,HOUSE,97%,HOUSE,94%,HOUSE
Daniel,Webster,"Webster, Daniel",H0FL08208,15%,HOUSE,14%,HOUSE,13%,HOUSE
Gus,Bilirakis,"Bilirakis, Gus",H6FL09070,4%,HOUSE,21%,HOUSE,9%,HOUSE
Charlie,Crist,"Crist, Charlie",H6FL13205,69%,HOUSE,97%,HOUSE,84%,HOUSE
Kathy,Castor,"Castor, Kathy",H6FL11126,75%,HOUSE,97%,HOUSE,97%,HOUSE
Ross,Spano,"Spano, Ross",H8FL15230,NaN,NaN,10%,HOUSE,NaN,NaN
Vern,Buchanan,"Buchanan, Vern",H6FL13148,7%,HOUSE,31%,HOUSE,13%,HOUSE
Tom,"Ronney, ","Ronney, Tom",H8FL16022,4%,HOUSE,NaN,NaN,9%,HOUSE
Greg,Steube,"Steube, Greg",H8FL17053,NaN,NaN,7%,HOUSE,NaN,NaN
Brian,Mast,"Mast, Brian",H6FL18097,14%,HOUSE,38%,HOUSE,16%,HOUSE
Francis,Rooney,"Rooney, Francis",H6FL19087,4%,HOUSE,59%,HOUSE,6%,HOUSE
Alcee,Hastings,"Hastings, Alcee",H2FL23021,92%,HOUSE,93%,HOUSE,88%,HOUSE
Lois,Frankel,"Frankel, Lois",H2FL14053,83%,HOUSE,96%,HOUSE,88%,HOUSE
Ted,Deutch,"Deutch, Ted",H0FL19080,77%,HOUSE,97%,HOUSE,88%,HOUSE
Debbie,Wasserman Schultz,"Wasserman Schultz, Debbie",H4FL20023,77%,HOUSE,93%,HOUSE,94%,HOUSE
Frederica,Wilson,"Wilson, Frederica",H0FL17068,88%,HOUSE,93%,HOUSE,97%,HOUSE
Mario,Díaz-Balart,"Díaz-Balart, Mario",H2FL25018,13%,HOUSE,28%,HOUSE,31%,HOUSE
Carlos,Curbelo,"Curbelo, Carlos",H4FL26038,24%,HOUSE,NaN,NaN,39%,HOUSE
Debbie,Mucarsel-Powell,"Mucarsel-Powell, Debbie",H8FL26039,NaN,NaN,97%,HOUSE,NaN,NaN
Donna,Shalala,"Shalala, Donna",H8FL27193,NaN,NaN,97%,HOUSE,NaN,NaN
Buddy,Carter,"Carter, Buddy",H4GA01039,4%,HOUSE,17%,HOUSE,6%,HOUSE
Sanford,Bishop,"Bishop, Sanford",H2GA02031,77%,HOUSE,93%,HOUSE,81%,HOUSE
Drew,Ferguson,"Ferguson, Drew",H0GA10269,4%,HOUSE,7%,HOUSE,13%,HOUSE
Hank,Johnson,"Johnson, Hank",H6GA04129,82%,HOUSE,97%,HOUSE,100%,HOUSE
John,Lewis,"Lewis, John",H6GA05217,89%,HOUSE,90%,HOUSE,97%,HOUSE
Lucy,McBath,"McBath, Lucy",H8GA06393,NaN,NaN,97%,HOUSE,NaN,NaN
Karen,Handel,"Handel, Karen",H8GA06286,0%,HOUSE,NaN,NaN,NaN,HOUSE
Rob,Woodall,"Woodall, Rob",H0GA07133,7%,HOUSE,10%,HOUSE,9%,HOUSE
Austin,Scott,"Scott, Austin",H0GA08099,4%,HOUSE,7%,HOUSE,13%,HOUSE
Doug,Collins,"Collins, Doug",H2GA09150,3%,HOUSE,7%,HOUSE,13%,HOUSE
Jody,Hice,"Hice, Jody",H0GA07125,11%,HOUSE,0%,HOUSE,6%,HOUSE
Barry,Loudermilk,"Loudermilk, Barry",H4GA11061,22%,HOUSE,7%,HOUSE,6%,HOUSE
Rick W,Allen,"Allen, Rick W",H2GA12121,7%,HOUSE,7%,HOUSE,9%,HOUSE
David,Scott,"Scott, David",H2GA13012,82%,HOUSE,97%,HOUSE,84%,HOUSE
Tom,Graves,"Graves, Tom",H0GA09030,7%,HOUSE,7%,HOUSE,9%,HOUSE
Colleen,Hanabusa,"Hanabusa, Colleen",H2HI02110,85%,HOUSE,NaN,NaN,99%,HOUSE
Ed,Case,"Case, Ed",H2HI02128,NaN,NaN,97%,HOUSE,NaN,NaN
Tulsi,Gabbard,"Gabbard, Tulsi",H2HI02508,88%,HOUSE,72%,HOUSE,97%,HOUSE
Russ,Fulcher,"Fulcher, Russ",H8ID01124,NaN,NaN,3%,HOUSE,NaN,NaN
Raul,Labrador,"Labrador, Raul",H0ID01253,21%,HOUSE,NaN,NaN,8%,HOUSE
Mike,Simpson,"Simpson, Mike",H8ID02064,4%,HOUSE,21%,HOUSE,19%,HOUSE
Bobby,Rush,"Rush, Bobby",H2IL01042,90%,HOUSE,97%,HOUSE,84%,HOUSE
Robin,Kelly,"Kelly, Robin",H2IL02172,86%,HOUSE,97%,HOUSE,100%,HOUSE
Dan,Lipinski,"Lipinski, Dan",H4IL03077,46%,HOUSE,97%,HOUSE,84%,HOUSE
Jesus Chuy,Garcia,"Garcia, Jesus Chuy",H8IL04134,NaN,NaN,100%,HOUSE,NaN,NaN
Luis,Gutierrez,"Gutierrez, Luis",H2IL08039,89%,HOUSE,NaN,NaN,88%,HOUSE
Mike,Quigley,"Quigley, Mike",H0IL05096,75%,HOUSE,87%,HOUSE,94%,HOUSE
Peter,Roskam,"Roskam, Peter",H6IL06117,7%,HOUSE,NaN,NaN,28%,HOUSE
Sean,Casten,"Casten, Sean",H8IL06139,NaN,NaN,97%,HOUSE,NaN,NaN
Danny K,Davis,"Davis, Danny K",H4IL07037,88%,HOUSE,97%,HOUSE,88%,HOUSE
Raja,Krishnamoorthi,"Krishnamoorthi, Raja",H6IL08147,79%,HOUSE,97%,HOUSE,97%,HOUSE
Jan,Schakowsky,"Schakowsky, Jan",H8IL09067,89%,HOUSE,97%,HOUSE,100%,HOUSE
Brad,Schneider,"Schneider, Brad",H2IL10068,77%,HOUSE,97%,HOUSE,91%,HOUSE
Bill,Foster,"Foster, Bill",H8IL14067,82%,HOUSE,97%,HOUSE,91%,HOUSE
Mike,Bost,"Bost, Mike",H4IL12060,7%,HOUSE,10%,HOUSE,22%,HOUSE
Rodney,Davis,"Davis, Rodney",H2IL13120,7%,HOUSE,17%,HOUSE,19%,HOUSE
Lauren,Underwood,"Underwood, Lauren",H8IL14174,NaN,NaN,97%,HOUSE,NaN,NaN
Randy,Hultgren,"Hultgren, Randy",H0IL14080,4%,HOUSE,NaN,NaN,9%,HOUSE
John,Shimkus,"Shimkus, John",H2IL20042,4%,HOUSE,10%,HOUSE,16%,HOUSE
Adam,Kinzinger,"Kinzinger, Adam",H0IL11052,4%,HOUSE,14%,HOUSE,16%,HOUSE
Cheri,Bustos,"Bustos, Cheri",H2IL17071,75%,HOUSE,97%,HOUSE,94%,HOUSE
Darin,LaHood,"LaHood, Darin",H6IL18088,7%,HOUSE,7%,HOUSE,13%,HOUSE
Pete,Visclosky,"Visclosky, Pete",H4IN01012,86%,HOUSE,100%,HOUSE,97%,HOUSE
Jackie,Walorski,"Walorski, Jackie",H0IN02190,4%,HOUSE,10%,HOUSE,13%,HOUSE
Jim,Banks,"Banks, Jim",H6IN03229,7%,HOUSE,3%,HOUSE,9%,HOUSE
Todd,Rokita,"Rokita, Todd",S8IN00189,15%,HOUSE,NaN,NaN,6%,HOUSE
Jim,Baird,"Baird, Jim",H8IN04199,NaN,NaN,3%,HOUSE,NaN,NaN
Susan,Brooks,"Brooks, Susan",H2IN05082,4%,HOUSE,24%,HOUSE,13%,HOUSE
Luke,Messer,"Messer, Luke",H0IN02125,7%,HOUSE,NaN,NaN,6%,HOUSE
Greg,Pence,"Pence, Greg",H8IN06129,NaN,HOUSE,10%,HOUSE,NaN,HOUSE
André,Carson,"Carson, André",H8IN07184,83%,HOUSE,93%,HOUSE,94%,HOUSE
Larry,Bucshon,"Bucshon, Larry",H0IN08114,4%,HOUSE,10%,HOUSE,19%,HOUSE
Trey,Hollingsworth,"Hollingsworth, Trey",H6IN09176,7%,HOUSE,34%,HOUSE,9%,HOUSE
Abby,Finkenauer,"Finkenauer, Abby",H8IA01094,NaN,NaN,93%,HOUSE,NaN,NaN
Rodney,Blum,"Blum, Rodney",H2IA01055,14%,HOUSE,NaN,NaN,9%,HOUSE
Dave,Loebsack,"Loebsack, Dave",H6IA02146,79%,HOUSE,97%,HOUSE,97%,HOUSE
David,Young,"Young, David",H4IA03115,7%,HOUSE,NaN,NaN,16%,HOUSE
Cindy,Axne,"Axne, Cindy",H8IA03124,NaN,NaN,93%,HOUSE,NaN,NaN
Steve,King,"King, Steve",H2IA05072,9%,HOUSE,3%,HOUSE,9%,HOUSE
Roger,Marshall,"Marshall, Roger",H6KS01179,4%,HOUSE,14%,HOUSE,9%,HOUSE
Lynn,Jenkins,"Jenkins, Lynn",H8KS02090,7%,HOUSE,NaN,NaN,6%,HOUSE
Kevin,Yoder,"Yoder, Kevin",H0KS03137,18%,HOUSE,NaN,NaN,16%,HOUSE
Steve,Watkins,"Watkins, Steve",H8KS02199,NaN,NaN,10%,HOUSE,NaN,NaN
Sharice,Davids,"Davids, Sharice",H8KS03155,NaN,NaN,97%,HOUSE,NaN,NaN
Ron,Estes,"Estes, Ron",H8KS04112,0%,HOUSE,14%,HOUSE,NaN,HOUSE
James,Comer,"Comer, James",H6KY01110,14%,HOUSE,7%,HOUSE,9%,HOUSE
Brett,Guthrie,"Guthrie, Brett",H8KY02031,4%,HOUSE,10%,HOUSE,9%,HOUSE
John,Yarmuth,"Yarmuth, John",H6KY03124,89%,HOUSE,93%,HOUSE,97%,HOUSE
Thomas,Massie,"Massie, Thomas",H2KY04121,36%,HOUSE,3%,HOUSE,25%,HOUSE
Hal,Rogers,"Rogers, Hal",H0KY05015,4%,HOUSE,7%,HOUSE,13%,HOUSE
Andy,Barr,"Barr, Andy",H0KY06104,4%,HOUSE,10%,HOUSE,9%,HOUSE
Steve,Scalise,"Scalise, Steve",H0LA01087,6%,HOUSE,0%,HOUSE,9%,HOUSE
Cedric,Richmond,"Richmond, Cedric",H8LA02054,85%,HOUSE,93%,HOUSE,91%,HOUSE
Clay,Higgins,"Higgins, Clay",H6LA03148,7%,HOUSE,3%,HOUSE,6%,HOUSE
Mike,Johnson,"Johnson, Mike",H6LA04138,9%,HOUSE,3%,HOUSE,9%,HOUSE
Ralph,Abraham,"Abraham, Ralph",H4LA05221,7%,HOUSE,0%,HOUSE,6%,HOUSE
Garret,Graves,"Graves, Garret",H4LA06153,18%,HOUSE,17%,HOUSE,9%,HOUSE
Chellie,Pingree,"Pingree, Chellie",H8ME01120,92%,HOUSE,97%,HOUSE,100%,HOUSE
Bruce,Poliquin,"Poliquin, Bruce",H4ME02234,7%,HOUSE,NaN,NaN,19%,HOUSE
Jared,Golden,"Golden, Jared",H8ME02185,NaN,NaN,97%,HOUSE,NaN,NaN
Andy,Harris,"Harris, Andy",H8MD01094,14%,HOUSE,0%,HOUSE,6%,HOUSE
Dutch,Ruppersberger,"Ruppersberger, Dutch",H2MD02160,71%,HOUSE,97%,HOUSE,91%,HOUSE
John,Sarbanes,"Sarbanes, John",H6MD03292,86%,HOUSE,97%,HOUSE,100%,HOUSE
Anthony G,Brown,"Brown, Anthony G",H6MD04209,81%,HOUSE,97%,HOUSE,100%,HOUSE
Steny,Hoyer,"Hoyer, Steny",H2MD05155,82%,HOUSE,97%,HOUSE,94%,HOUSE
John,Delaney,"Delaney, John",H2MD06195,75%,HOUSE,NaN,NaN,94%,HOUSE
Elijah,Cummings,"Cummings, Elijah",H6MD07160,88%,HOUSE,100%,HOUSE,66%,HOUSE
David,Trone,"Trone, David",H6MD08549,NaN,NaN,97%,HOUSE,NaN,NaN
Jamie,Raskin,"Raskin, Jamie",H6MD08457,91%,HOUSE,100%,HOUSE,100%,HOUSE
Richard,Neal,"Neal, Richard",H8MA02041,82%,HOUSE,97%,HOUSE,100%,HOUSE
Jim,McGovern,"McGovern, Jim",H4MA03022,89%,HOUSE,100%,HOUSE,100%,HOUSE
Lori,Trahan,"Trahan, Lori",H8MA03106,NaN,NaN,97%,HOUSE,NaN,NaN
Joe,Kennedy III,"Kennedy III, Joe",H2MA04073,89%,HOUSE,100%,HOUSE,94%,HOUSE
Katherine,Clark,"Clark, Katherine",H4MA05084,82%,HOUSE,97%,HOUSE,97%,HOUSE
Seth,Moulton,"Moulton, Seth",H4MA06090,82%,HOUSE,93%,HOUSE,100%,HOUSE
Michael,Capuano,"Capuano, Michael",H8MA08071,89%,HOUSE,NaN,NaN,94%,HOUSE
Ayanna,Pressley,"Pressley, Ayanna",H8MA07032,NaN,NaN,97%,HOUSE,NaN,NaN
Stephen F,Lynch,"Lynch, Stephen F",H2MA09072,78%,HOUSE,97%,HOUSE,94%,HOUSE
Bill,Keating,"Keating, Bill",H0MA10082,75%,HOUSE,97%,HOUSE,88%,HOUSE
Jack,Bergman,"Bergman, Jack",H6MI01226,11%,HOUSE,17%,HOUSE,9%,HOUSE
Bill,Huizenga,"Huizenga, Bill",H0MI02094,4%,HOUSE,0%,HOUSE,9%,HOUSE
Justin,Amash,"Amash, Justin",H0MI03126,54%,HOUSE,17%,HOUSE,28%,HOUSE
John,Moolenaar,"Moolenaar, John",H4MI04126,4%,HOUSE,14%,HOUSE,13%,HOUSE
Dan,Kildee,"Kildee, Dan",H2MI05119,86%,HOUSE,97%,HOUSE,100%,HOUSE
Fred,Upton,"Upton, Fred",H6MI04113,7%,HOUSE,45%,HOUSE,22%,HOUSE
Tim,Walberg,"Walberg, Tim",H4MI07103,4%,HOUSE,10%,HOUSE,9%,HOUSE
Michael,Bishop,"Bishop, Michael",H4MI08135,4%,HOUSE,NaN,NaN,6%,HOUSE
Elissa,Slotkin,"Slotkin, Elissa",H8MI08102,NaN,NaN,97%,HOUSE,NaN,NaN
Sander,Levin,"Levin, Sander",H2MI17023,86%,HOUSE,100%,HOUSE,97%,HOUSE
Paul,Mitchell,"Mitchell, Paul",H4MI04118,7%,HOUSE,7%,HOUSE,16%,HOUSE
Haley,Stevens,"Stevens, Haley",H8MI11254,NaN,NaN,93%,HOUSE,NaN,NaN
Debbie,Dingell,"Dingell, Debbie",H4MI12079,86%,HOUSE,97%,HOUSE,100%,HOUSE
Rashida,Tlaib,"Tlaib, Rashida",H8MI13250,NaN,NaN,97%,HOUSE,NaN,NaN
Brenda,Lawrence,"Lawrence, Brenda",H2MI14111,86%,HOUSE,90%,HOUSE,100%,HOUSE
Tim,Walz,"Walz, Tim",H6MN01174,92%,HOUSE,NaN,NaN,72%,HOUSE
Jason,Lewis,"Lewis, Jason",H6MN02149,25%,HOUSE,NaN,NaN,9%,HOUSE
Erik,Paulsen,"Paulsen, Erik",H8MN03077,7%,HOUSE,NaN,NaN,16%,HOUSE
Keith,Ellison,"Ellison, Keith",H6MN05183,89%,HOUSE,NaN,NaN,94%,HOUSE
Rick,Nolan,"Nolan, Rick",H2MN08111,88%,HOUSE,NaN,NaN,97%,HOUSE
Jim,Hagedorn,"Hagedorn, Jim",H0MN01045,NaN,NaN,7%,HOUSE,NaN,NaN
Angie,Craig,"Craig, Angie",H6MN02131,NaN,NaN,97%,HOUSE,NaN,NaN
Dean,Phillips,"Phillips, Dean",H8MN03143,NaN,NaN,97%,HOUSE,NaN,NaN
Betty,McCollum,"McCollum, Betty",H0MN04049,86%,HOUSE,97%,HOUSE,97%,HOUSE
Ilhan,Omar,"Omar, Ilhan",H8MN05239,NaN,NaN,97%,HOUSE,NaN,NaN
Tom,Emmer,"Emmer, Tom",H4MN06087,18%,HOUSE,7%,HOUSE,19%,HOUSE
Collin,Peterson,"Peterson, Collin",H2MN07014,42%,HOUSE,69%,HOUSE,56%,HOUSE
Pete,Stauber,"Stauber, Pete",H8MN08043,NaN,NaN,7%,HOUSE,NaN,NaN
Trent,Kelly,"Kelly, Trent",H6MS01131,14%,HOUSE,7%,HOUSE,9%,HOUSE
Bennie,Thompson,"Thompson, Bennie",H4MS02068,81%,HOUSE,86%,HOUSE,94%,HOUSE
Michael,Guest,"Guest, Michael",H8MS03125,7%,HOUSE,10%,HOUSE,NaN,HOUSE
Steven,Palazzo,"Palazzo, Steven",H0MS04120,4%,HOUSE,7%,HOUSE,6%,HOUSE
Lacy,Clay,"Clay, Lacy",H0MO01066,89%,HOUSE,97%,HOUSE,NaN,HOUSE
Ann,Wagner,"Wagner, Ann",H2MO02102,4%,HOUSE,7%,HOUSE,9%,HOUSE
Blaine,Luetkemeyer,"Luetkemeyer, Blaine",H8MO09153,4%,HOUSE,7%,HOUSE,13%,HOUSE
Vicky,Hartzler,"Hartzler, Vicky",H0MO04086,4%,HOUSE,7%,HOUSE,6%,HOUSE
Emanuel,Cleaver,"Cleaver, Emanuel",H4MO05234,87%,HOUSE,97%,HOUSE,94%,HOUSE
Sam,Graves,"Graves, Sam",H0MO06073,4%,HOUSE,3%,HOUSE,13%,HOUSE
Billy,Long,"Long, Billy",H0MO07113,8%,HOUSE,7%,HOUSE,13%,HOUSE
Jason,Smith,"Smith, Jason",H4MO08162,11%,HOUSE,0%,HOUSE,6%,HOUSE
Greg,Gianforte,"Gianforte, Greg",H8MT01182,11%,HOUSE,3%,HOUSE,NaN,HOUSE
Jeff,Fortenberry,"Fortenberry, Jeff",H4NE01064,7%,HOUSE,34%,HOUSE,19%,HOUSE
Don,Bacon,"Bacon, Don",H6NE02125,7%,HOUSE,34%,HOUSE,13%,HOUSE
Adrian,Smith,"Smith, Adrian",H6NE03115,4%,HOUSE,3%,HOUSE,6%,HOUSE
Dina,Titus,"Titus, Dina",H8NV03036,89%,HOUSE,96%,HOUSE,91%,HOUSE
Mark,Amodei,"Amodei, Mark",H2NV02395,4%,HOUSE,10%,HOUSE,16%,HOUSE
Jacklyn,Rosen,"Rosen, Jacklyn",H6NV03139,67%,HOUSE,NaN,NaN,91%,HOUSE
Susie,Lee,"Lee, Susie",H6NV04020,NaN,NaN,97%,HOUSE,NaN,NaN
Ruben,Kihuen,"Kihuen, Ruben",H2NV00050,85%,HOUSE,NaN,NaN,97%,HOUSE
Steven,Horsford,"Horsford, Steven",H2NV04011,NaN,NaN,97%,HOUSE,NaN,NaN
Carolyn,Shea-Porter,"Shea-Porter, Carol",H6NH01230,86%,HOUSE,NaN,NaN,91%,HOUSE
Chris,Pappas,"Pappas, Chris",H8NH01210,NaN,NaN,97%,HOUSE,NaN,NaN
Ann,McLane Kuster,"McLane Kuster, Ann",H0NH02181,74%,HOUSE,97%,HOUSE,88%,HOUSE
Donald,Norcross,"Norcross, Donald",H4NJ01084,79%,HOUSE,97%,HOUSE,94%,HOUSE
Frank,Lobiondo,"Lobiondo, Frank",H2NJ02037,18%,HOUSE,NaN,NaN,31%,HOUSE
Thomas,Macarthur,"Macarthur, Thomas",H4NJ03130,11%,HOUSE,NaN,NaN,22%,HOUSE
Jeff,Van Drew,"Van Drew, Jeff",H8NJ02166,NaN,NaN,93%,HOUSE,NaN,NaN
Andy,Kim,"Kim, Andy",H8NJ03206,NaN,NaN,97%,HOUSE,NaN,NaN
Chris,Smith,"Smith, Chris",H8NJ04014,19%,HOUSE,72%,HOUSE,38%,HOUSE
Josh,Gottheimer,"Gottheimer, Josh",H6NJ05171,64%,HOUSE,97%,HOUSE,84%,HOUSE
Frank,Pallone,"Pallone, Frank",H8NJ03073,93%,HOUSE,100%,HOUSE,100%,HOUSE
Leonard,Lance,"Lance, Leonard",H6NJ12136,14%,HOUSE,NaN,NaN,38%,HOUSE
Tom,Malinowski,"Malinowski, Tom",H8NJ07223,NaN,NaN,97%,HOUSE,NaN,NaN
Albio,Sires,"Sires, Albio",H6NJ13191,74%,HOUSE,93%,HOUSE,97%,HOUSE
Bill,Pascrell,"Pascrell, Bill",H6NJ08118,78%,HOUSE,100%,HOUSE,97%,HOUSE
Donald,Payne Jr,"Payne Jr, Donald",H2NJ10154,93%,HOUSE,90%,HOUSE,91%,HOUSE
Mikie,Sherrill,"Sherrill, Mikie",H8NJ11142,NaN,NaN,93%,HOUSE,NaN,NaN
Bonnie,Watson Coleman,"Watson Coleman, Bonnie",H4NJ12149,96%,HOUSE,100%,HOUSE,100%,HOUSE
Michelle,Lujan Grisham,"Lujan Grisham, Michelle",H8NM01257,86%,HOUSE,NaN,NaN,94%,HOUSE
Steve,Pearce,"Pearce, Steve",S0NM00041,15%,HOUSE,NaN,NaN,9%,HOUSE
Deb,Haaland,"Haaland, Deb",H8NM01331,NaN,NaN,97%,HOUSE,NaN,NaN
Xochitl,Torres Small,"Torres Small, Xochitl",H8NM02248,NaN,NaN,97%,HOUSE,NaN,NaN
Ben,Ray Lujan,"Ray Lujan, Ben",H8NM03196,86%,HOUSE,97%,HOUSE,100%,HOUSE
Lee,Zeldin,"Zeldin, Lee",H8NY01148,14%,HOUSE,28%,HOUSE,16%,HOUSE
Peter T,King,"King, Peter T",H2NY03089,3%,HOUSE,41%,HOUSE,31%,HOUSE
Thomas,Suozzi,"Suozzi, Thomas",H6NY03247,77%,HOUSE,97%,HOUSE,91%,HOUSE
Kathleen,Rice,"Rice, Kathleen",H4NY04075,75%,HOUSE,93%,HOUSE,97%,HOUSE
Gregory,Meeks,"Meeks, Gregory",H8NY06048,81%,HOUSE,93%,HOUSE,97%,HOUSE
Grace,Meng,"Meng, Grace",H2NY06116,81%,HOUSE,100%,HOUSE,97%,HOUSE
Nydia,Velázquez,"Velázquez, Nydia",H2NY00010,96%,HOUSE,100%,HOUSE,100%,HOUSE
Hakeem,Jeffries,"Jeffries, Hakeem",H2NY10092,83%,HOUSE,97%,HOUSE,94%,HOUSE
Yvette,Clarke,"Clarke, Yvette",H4NY11138,93%,HOUSE,100%,HOUSE,100%,HOUSE
Jerry,Nadler,"Nadler, Jerry",H2NY17071,86%,HOUSE,100%,HOUSE,100%,HOUSE
Daniel,Donovan,"Donovan, Daniel",H6NY11174,7%,HOUSE,NaN,NaN,31%,HOUSE
