first_name,last_name,full_name,cand_id,2017_aclu_score,2017_aclu_vote_office,2019_environment_score,2019_environment_vote_office,2017_naacp_score,2017_naacp_vote_office
David,Price,"Price, David",H6NC04037,0.86,HOUSE,0.97,HOUSE,1,HOUSE
Virginia,Foxx,"Foxx, Virginia",H4NC05146,0.04,HOUSE,0.1,HOUSE,0.06,HOUSE
Mark,Walker,"Walker, Mark",H4NC06052,0.04,HOUSE,0.03,HOUSE,0.09,HOUSE
David,Rouzer,"Rouzer, David",H2NC07096,0.07,HOUSE,0.07,HOUSE,0.06,HOUSE
Richard,Hudson,"Hudson, Richard",H2NC08185,0.04,HOUSE,0.1,HOUSE,0.06,HOUSE
Mark,Meadows,"Meadows, Mark",H2NC11080,0.19,HOUSE,0,HOUSE,0.06,HOUSE
Patrick,McHenry,"McHenry, Patrick",H4NC10047,0.04,HOUSE,0.24,HOUSE,0.09,HOUSE
Alma,Adams,"Adams, Alma",H4NC12100,0.85,HOUSE,0.96,HOUSE,0.97,HOUSE
Ted,Budd,"Budd, Ted",H6NC13129,0.14,HOUSE,0.07,HOUSE,0.06,HOUSE
Kevin,Cramer,"Cramer, Kevin",S8ND00120,0.04,HOUSE,,,0.13,HOUSE
Kelly,Armstrong,"Armstrong, Kelly",H8ND00096,,,0.1,HOUSE,,
Steve,Chabot,"Chabot, Steve",H8OH01043,0.03,HOUSE,0.1,HOUSE,0.06,HOUSE
Brad,Wenstrup,"Wenstrup, Brad",H2OH02085,0.03,HOUSE,0.03,HOUSE,0.09,HOUSE
Joyce,Beatty,"Beatty, Joyce",H2OH03125,0.86,HOUSE,0.96,HOUSE,0.97,HOUSE
Jim,Jordan,"Jordan, Jim",H6OH04082,0.21,HOUSE,0,HOUSE,0.06,HOUSE
Bob,Latta,"Latta, Bob",H8OH05036,0.07,HOUSE,0.07,HOUSE,0.09,HOUSE
Bill,Johnson,"Johnson, Bill",H0OH06189,0.04,HOUSE,0.07,HOUSE,0.19,HOUSE
Bob,Gibbs,"Gibbs, Bob",H0OH18077,0.04,HOUSE,0.07,HOUSE,0.09,HOUSE
Warren,Davidson,"Davidson, Warren",H6OH08315,0.26,HOUSE,0.07,HOUSE,0.06,HOUSE
Marcy,Kaptur,"Kaptur, Marcy",H2OH09031,0.79,HOUSE,1,HOUSE,1,HOUSE
Mike,Turner,"Turner, Mike",H2OH03067,0.14,HOUSE,0.14,HOUSE,0.31,HOUSE
Marcia,Fudge,"Fudge, Marcia",H8OH11141,0.85,HOUSE,0.93,HOUSE,1,HOUSE
Troy,Balderson,"Balderson, Troy",H8OH12180,,,0.03,HOUSE,,
Tim,Ryan,"Ryan, Tim",H2OH17109,0.86,HOUSE,0.66,HOUSE,1,HOUSE
David,Joyce,"Joyce, David",H2OH14064,0.14,HOUSE,0.21,HOUSE,0.22,HOUSE
Steve,Stivers,"Stivers, Steve",H8OH15076,0.08,HOUSE,0.1,HOUSE,0.16,HOUSE
Jim,Renacci,"Renacci, Jim",S8OH00102,0.07,HOUSE,0.21,HOUSE,0.13,HOUSE
Anthony,Gonzalez,"Gonzalez, Anthony",H8OH16124,,,0.21,HOUSE,,
Kevin,Hern,"Hern, Kevin",H8OK01157,,,0.03,HOUSE,,
Markwayne,Mullin,"Mullin, Markwayne",H2OK02083,0.07,HOUSE,0,HOUSE,0.06,HOUSE
Frank,Lucas,"Lucas, Frank",H4OK06056,0.04,HOUSE,0.07,HOUSE,0.13,HOUSE
